time,x,y,pc_r,pc_n,tag,global_ctr,cycle,instr_total,instr_fadd,instr_fsub,instr_fmul,instr_fsgnj,instr_fsgnjn,instr_fsgnjx,instr_fmin,instr_fmax,instr_fcvt_s_w,instr_fcvt_s_wu,instr_fmv_w_x,instr_feq,instr_flt,instr_fle,instr_fcvt_w_s,instr_fcvt_wu_s,instr_fclass,instr_fmv_x_w,instr_local_ld,instr_local_st,instr_remote_ld_dram,instr_remote_ld_global,instr_remote_ld_group,instr_remote_st_dram,instr_remote_st_global,instr_remote_st_group,instr_local_flw,instr_local_fsw,instr_remote_flw,instr_remote_fsw,instr_lr,instr_lr_aq,instr_amoswap,instr_amoor,instr_beq,instr_bne,instr_blt,instr_bge,instr_bltu,instr_bgeu,instr_jalr,instr_jal,instr_sll,instr_slli,instr_srl,instr_srli,instr_sra,instr_srai,instr_add,instr_addi,instr_sub,instr_lui,instr_auipc,instr_xor,instr_xori,instr_or,instr_ori,instr_and,instr_andi,instr_slt,instr_slti,instr_sltu,instr_sltiu,instr_mul,instr_mulh,instr_mulhsu,instr_mulhu,instr_div,instr_divu,instr_rem,instr_remu,instr_fence,miss_icache,miss_beq,miss_bne,miss_blt,miss_bge,miss_bltu,miss_bgeu,miss_jalr,stall_fp_remote_load,stall_fp_local_load,stall_depend,stall_depend_remote_load_dram,stall_depend_remote_load_global,stall_depend_remote_load_group,stall_depend_local_load,stall_force_wb,stall_ifetch_wait,stall_icache_store,stall_lr_aq,stall_md,stall_remote_req,stall_local_flw,stall_amo_aq,stall_amo_rl,bubble_icache,bubble_branch_mispredict,bubble_jalr_mispredict,bubble_fp_op
22234600000,0,0,8236,8237,2181038080,61215,2231,149,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,12,10,9,0,0,0,1,0,0,2,2,0,1,1,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0,0,2,43,0,11,9,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,853,0,846,0,0,0,0,0,300,2,2,32
22251048000,0,0,7989,7990,3254779904,63271,4287,420,0,0,0,4,0,0,0,0,32,0,0,0,0,10,0,0,0,0,32,28,24,0,0,0,2,0,0,2,22,10,1,1,0,0,10,11,0,1,0,35,4,4,0,6,0,0,0,0,39,98,1,17,9,0,0,6,0,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0,170,6,1,0,1,0,0,1,0,0,191,171,0,0,0,0,1815,0,846,148,0,0,0,0,676,16,2,36
22405600000,0,0,7912,7913,2181038080,64482,5498,523,0,0,0,4,0,0,0,0,32,0,0,0,0,10,0,0,0,0,56,39,33,0,0,0,4,0,2,4,24,10,2,2,0,0,10,13,0,3,0,35,6,5,0,9,0,0,0,0,41,110,1,31,16,0,0,9,0,9,1,0,0,0,0,4,0,0,0,0,0,0,0,0,214,6,1,0,3,0,0,3,0,0,191,171,0,0,0,3,2373,0,1161,148,0,0,0,0,856,20,6,36
22413360000,0,0,7989,7990,3254779904,65452,6468,960,0,0,0,15,0,0,0,0,32,0,0,0,0,30,0,0,0,0,76,57,48,0,0,0,5,0,2,4,64,30,2,2,0,0,30,33,0,3,0,100,9,8,0,12,0,0,0,0,108,205,2,36,16,0,0,12,0,12,1,0,0,0,0,8,0,0,0,0,0,0,0,0,220,15,2,0,3,0,0,3,0,0,472,397,0,0,55,3,2431,0,1161,296,0,0,0,0,876,40,6,47
22576360000,0,0,7912,7913,2181038080,66453,7469,1063,0,0,0,15,0,0,0,0,32,0,0,0,0,30,0,0,0,0,100,68,57,0,0,0,7,0,4,6,66,30,3,3,0,0,30,35,0,5,0,100,11,9,0,15,0,0,0,0,110,217,2,50,23,0,0,15,0,15,1,0,0,0,0,8,0,0,0,0,0,0,0,0,250,15,2,0,5,0,0,5,0,0,475,397,0,0,58,6,2797,0,1525,296,0,0,0,0,1000,44,10,47
22588488000,0,0,7989,7990,3254779904,67969,8985,1669,0,0,0,35,0,0,0,0,32,0,0,0,0,60,0,0,0,0,120,86,72,0,0,0,8,0,4,6,126,60,3,3,0,0,60,65,0,5,0,195,14,12,0,18,0,0,0,0,207,352,3,55,23,0,0,18,0,18,1,0,0,0,0,12,0,0,0,0,0,0,0,0,256,25,3,0,5,0,0,5,0,0,1131,953,0,0,192,6,2855,0,1525,444,0,0,0,0,1020,66,10,67
22763608000,0,0,7912,7913,2181038080,69000,10016,1772,0,0,0,35,0,0,0,0,32,0,0,0,0,60,0,0,0,0,144,97,81,0,0,0,10,0,6,8,128,60,4,4,0,0,60,67,0,7,0,195,16,13,0,21,0,0,0,0,209,364,3,69,30,0,0,21,0,21,1,0,0,0,0,12,0,0,0,0,0,0,0,0,286,25,3,0,7,0,0,7,0,0,1134,953,0,0,195,10,3221,0,1918,444,0,0,0,0,1144,70,14,67
22777776000,0,0,7989,7990,3254779904,70771,11787,2534,0,0,0,51,0,0,0,0,32,0,0,0,0,100,0,0,0,0,164,115,96,0,0,0,11,0,6,8,208,100,4,4,0,0,100,107,0,7,0,320,19,16,0,24,0,0,0,0,336,539,4,74,30,0,0,24,0,24,1,0,0,0,0,16,0,0,0,0,0,0,0,0,292,49,4,0,7,0,0,7,0,0,1861,1600,0,0,309,10,3279,0,1918,592,0,0,0,0,1164,120,14,83
22968368000,0,0,7912,7913,2181038080,71840,12856,2637,0,0,0,51,0,0,0,0,32,0,0,0,0,100,0,0,0,0,188,126,105,0,0,0,13,0,8,10,210,100,5,5,0,0,100,109,0,9,0,320,21,17,0,27,0,0,0,0,338,551,4,88,37,0,0,27,0,27,1,0,0,0,0,16,0,0,0,0,0,0,0,0,322,49,4,0,9,0,0,9,0,0,1864,1600,0,0,312,14,3645,0,2349,592,0,0,0,0,1288,124,18,83
22984712000,0,0,7989,7990,3254779904,73883,14899,3565,0,0,0,73,0,0,0,0,32,0,0,0,0,150,0,0,0,0,208,144,120,0,0,0,14,0,8,10,310,150,5,5,0,0,150,159,0,9,0,475,24,20,0,30,0,0,0,0,495,766,5,93,37,0,0,30,0,30,1,0,0,0,0,20,0,0,0,0,0,0,0,0,328,77,5,0,9,0,0,9,0,0,2689,2315,0,0,452,14,3703,0,2349,740,0,0,0,0,1308,182,18,105
